"EDR073810","Rustico<BR>Ab[---]co(?) //<BR>ante(missum) exemplar<BR>tra(ns)v(exit) XVCC<BR>in n(ave) C(ai) Umbr(ici?) Amprioci vecta Iovis et<BR>Iuno(nis) parasemi Victoria(!) P(ubli) Pompili<BR>Saturi mag(ister) M(arcus) Lartidius Vitalis domo Clupeis //<BR>Vect(igal) estis(?) soldo gratis MCC s(olutio?) f(acta?) pr(idie) Idus Octobr(es)"
"EDR073812","Fortunatus //<BR>G(aius) Iuli{a}us<BR>Trophimus //<BR>Felix //<BR>C(aius) Marcius<BR>Fortunatus //<BR>G(aius) Casticius<BR>Seno //<BR>Di[---]us<BR>Eunus<BR>havetis //<BR>salvom(!)<BR>venire"
"EDR073814","Con[ti]uere omn[es]"
"EDR073815","Sabitri<BR>Imp(eratore) Ves(pasiano) IIII"
"EDR073816","[Imp(eratore) Vesp(asiano)] IIII<BR>Sa[bitri]"
"EDR073817","Ab Sab(itrio) Im(peratore)<BR>Ves(pasiano) IIII //<BR>NASS"
"EDR073818","Bablum(!) pthaoma(!) SHYROCHABBDA [---]<BR>CONTAVTO BOVI[---]DI[---]OBIIN[---]"
"EDR074234","Gemma velim fieri hora non"
"EDR074292","Cicuta ab rationibus //<BR>Neronis Augusti"
"EDR074442","Q(uinto) Stnippio Antiocho<BR>Sutoria L(uci) l(iberta) Gamete"
"EDR074682","Phoenix felix et tu"
"EDR074685","Pompeis<BR>ad amphitheatr(um)<BR>Euxino coponi"
"EDR074686","E(x)ungis coma(m) mell(e) castroin(o)(!)<BR>scu[rra]m [-]iccum fecio(!) ist(um) Mai{i}o qui[n]quen(n)ali viro bo(n)o Iuni{c}is eius po[mpis] Regulo [---]<BR>feliciter G(aius?)"
"EDR074811","[Quid f]it(?) vi me oculei pos(t)quam deducxstis(!) in ignem<BR>[no]n ob vim vestreis(!) largificatis geneis(!)<BR>[porr]o non possunt lacrumae restinguere flam(m)am<BR>[hae]c os incendunt tabificantque animum"
"EDR158675","Suspirium<br>puellarum<br>Celadus Tr(aex) (:Thraex)"
"EDR152964","K(alendas) Aug&#803;(ustas)<br>Nonas&#803; A&#818;p&#818;r&#818;(ilis)<br>At&#818;i&#818;n&#818;a&#818;s&#818;"
"EDR153355","Qui · se tutari · nescit · nescit · vivere<br>Minimum · malu (:malum) · fit contemnendo · maximum"
"EDR152963","XX IIIIIIIII"
"EDR152931","Cab=<br>inio (:&#931;&#945;&#946;&#943;&#957;&#953;&#959;)<br>S ((S retrogradum)) "
"EDR152815","&#12296;:ad perpendiculum&#12297;<br>Rare lali omnes a"
"EDR152929","ILASV (:Hilarus?)"
"EDR152999","Quartu"
