AGP-EDR151835,Herculaneum,432873,Est res INCOSID,"Ercolano (Napoli), Insula IV.15-16, Grande Taberna",1,79,Latin,charcoal
AGP-EDR154189,Herculaneum,432873,Euhodu&#803;s&#818;,"Ercolano (Napoli), Terme Suburbane",1,79,Latin,Graffito/incised
AGP-EDR154429,Herculaneum,432873,Urban(e) v&#770;a(le),"Ercolano (Napoli), Rampa",1,79,Latin,Graffito/incised
AGP-EDR156980,Herculaneum,432873,"Sabin(a)
Sabina","Ercolano (Napoli), Decumano Massimo",1,79,Latin,Graffito/incised
AGP-EDR140187,Herculaneum,432873,Q(uintus?) V(---) R(---),"Ercolano (Napoli), Insula IV.2, Casa dell'Atrio a Mosaico",1,79,Latin,Graffito/incised
AGP-EDR102191,Herculaneum,432873,"Hermeros Prìmigeniae dominae:
venì Puteolos in vìco Tyaniano et quaere
a Messio numulario(:nummulario) Hermerotem Phoebì","Ercolano (Napoli), Terme Suburbane, ambiente di servizio presso l'ingresso",60,79,Latin,Graffito/incised
AGP-EDR151816,Herculaneum,432873,Lagunas (:lagoenas),"Ercolano (Napoli), Insula III.14, Casa a Graticcio",1,79,Latin,charcoal
AGP-EDR140052,Herculaneum,432873,Soli,"Ercolano (Napoli), Insula Orientalis I.1, Casa della Gemma",1,79,Latin,charcoal
AGP-EDR140060,Herculaneum,432873,NO,"Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo",1,79,Latin,Graffito/incised
AGP-EDR140127,Herculaneum,432873,Bal&#770;b(us),"Ercolano (Napoli), Insula V.35, Casa del Gran Portale, Facade",1,79,Latin,Graffito/incised
AGP-EDR140133,Herculaneum,432873,M,"Ercolano (Napoli), R of Insula V.1, Casa Sannitica, Facade",1,79,Latin,painted
AGP-EDR140709,Herculaneum,432873,[---]bius,"Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali (Terme Femminili)",1,79,Latin,Graffito/incised
AGP-EDR156981,Herculaneum,432873,K(alends) III Iulias,"Ercolano (Napoli), Insula V.31, Casa del Sacello di Legno",1,79,Latin,Graffito/incised
AGP-EDR140169,Herculaneum,432873,GENT[--]RR[---],"Ercolano (Napoli), Insula V.31, Casa del Sacello di Legno",1,79,Latin,Graffito/incised
AGP-EDR140184,Herculaneum,432873,"&#12296;:ad perpendiculum&#12297;
Iuvari","Ercolano (Napoli), Insula V.15, Casa del Bicentenario",1,79,Latin,Graffito/incised
AGP-EDR142441,Herculaneum,432873,Ad Ner[---],"Ercolano (Napoli), Insula IV.19, Casa della Stoffa",1,79,Latin,Graffito/incised
AGP-EDR140062,Herculaneum,432873,"eribus (:heribus) miscella
","Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali (Terme Femminili)",1,79,Latin,Graffito/incised
AGP-EDR140176,Herculaneum,432873,ON,"Ercolano (Napoli) Insula IV.10, Taberna",1,79,Latin,charcoal
AGP-EDR140205,Herculaneum,432873,Prigenio (:Primigenio?) s(alutem),"Ercolano (Napoli), Insula IV.15-16, Grande Taberna",1,79,Latin,charcoal
AGP-EDR140987,Herculaneum,432873,Marcus,"Ercolano (Napoli), Rampa",1,79,Latin,Graffito/incised
AGP-EDR140982,Herculaneum,432873,IPIVS · VI · DV,"Ercolano (Napoli), Rampa",1,79,Latin,Graffito/incised
AGP-EDR153741,Herculaneum,432873,Chie IMN,"Ercolano (Napoli), Insula Orientalis II.2-3, Pistrinum",1,79,Latin,charcoal
AGP-EDR154444,Herculaneum,432873,"Omnes
XXXI","Ercolano (Napoli), Insula Orientalis II.10, Bottega del Gemmario",1,79,Latin,Graffito/incised
AGP-EDR154430,Herculaneum,432873,omnibus Salinensi v[---],"Ercolano (Napoli), Rampa",1,79,Latin,charcoal
AGP-EDR156779,Herculaneum,432873,[A]ve Fausta s(alutem),"Ercolano (Napoli), Rampa",1,79,Latin,other; 'red rock'
AGP-EDR159777,Herculaneum,432873,"Vinum a(sses) III
Quatusui++I VIII
Nig[---] ((denarius)) V s(emis)
Capitoni
Nigro ((denarius)) V
Nig[---]","Ercolano (Napoli), Insula VI.2-3",1,79,Latin,Graffito/incised
